,Date,CASS,LA,AUTOINV,HH,RETAILINV,Gold,Computer
0,2014-01-01,2.246,360036.6,2.918,4.68,1.46,2.16,21545.0
1,2014-02-01,2.237,284812.35,2.989,4.84,1.44,2.61,21254.0
2,2014-03-01,2.246,327497.05,2.791,4.89,1.43,3.22,21560.0
3,2014-04-01,2.268,364126.05,2.771,4.55,1.42,3.13,21674.0
4,2014-05-01,2.314,351403.6,2.629,4.72,1.42,2.42,20805.0
5,2014-06-01,2.311,382666.15,2.468,4.7,1.42,3.0,21813.0
6,2014-07-01,2.295,363393.5,2.645,4.62,1.43,2.75,21178.0
7,2014-08-01,2.279,383551.35,2.503,4.43,1.42,2.57,21622.0
8,2014-09-01,2.303,411506.95,2.613,4.63,1.43,2.21,21161.0
9,2014-10-01,2.289,370938.2,2.565,4.46,1.43,2.29,20638.0
10,2014-11-01,2.258,333152.95,2.575,4.75,1.43,2.29,19832.0
11,2014-12-01,2.255,336674.95,2.522,4.12,1.44,2.24,19989.0
12,2015-01-01,2.252,259206.45,2.687,3.8,1.45,2.33,19683.0
13,2015-02-01,2.231,254225.3,2.829,4.51,1.46,2.68,19430.0
14,2015-03-01,2.282,430898.05,2.618,3.78,1.44,2.31,21180.0
15,2015-04-01,2.218,328140.25,2.685,3.96,1.45,2.4,20645.0
16,2015-05-01,2.245,348427.0,2.595,4.29,1.44,2.6,20134.0
17,2015-06-01,2.253,368708.5,2.595,3.46,1.44,2.46,20748.0
18,2015-07-01,2.173,350627.85,2.578,3.46,1.44,1.96,20748.0
19,2015-08-01,2.196,407804.4,2.589,3.18,1.45,2.07,20559.0
20,2015-09-01,2.185,372991.5,2.633,3.47,1.47,2.23,20381.0
21,2015-10-01,2.206,358601.5,2.504,3.61,1.49,2.43,20228.0
22,2015-11-01,2.164,358423.45,2.539,2.86,1.48,2.16,20056.0
23,2015-12-01,2.221,321407.7,2.6,3.04,1.48,1.99,20596.0
24,2016-01-01,2.213,367208.8,2.494,3.99,1.5,2.05,20960.0
25,2016-02-01,2.173,372744.3,2.479,3.39,1.49,2.29,21271.0
26,2016-03-01,2.154,287231.25,2.635,3.53,1.51,2.4,21033.0
27,2016-04-01,2.138,343574.1,2.664,3.5,1.5,2.66,21755.0
28,2016-05-01,2.143,400765.95,2.591,3.62,1.5,2.43,21603.0
29,2016-06-01,2.147,355622.9,2.643,3.77,1.49,2.43,21509.0
30,2016-07-01,2.117,368696.85,2.644,3.34,1.5,2.45,21512.0
31,2016-08-01,2.079,411366.85,2.703,3.67,1.5,2.38,21391.0
32,2016-09-01,2.169,388958.5,2.675,3.17,1.49,2.38,21205.0
33,2016-10-01,2.067,417311.05,2.808,3.58,1.49,2.32,20922.0
34,2016-11-01,2.075,437050.2,2.834,3.71,1.51,2.63,20849.0
35,2016-12-01,2.081,394217.15,2.724,3.13,1.48,2.9,21377.0
36,2017-01-01,2.238,415422.7,2.997,3.19,1.48,2.98,21416.0
37,2017-02-01,2.2,298974.95,2.941,3.29,1.48,3.11,21789.0
38,2017-03-01,2.198,373548.95,3.029,2.58,1.49,3.71,21068.0
